nik,nama,tempat_lahir,tanggal_lahir,jenis_kelamin,alamat,rt,rw,agama,bekerja
317506100200088,A,jakarta,5/5/2000,P,kp pisangan,9,9,Islam,Y
317506100200089,A,jakarta,5/6/2000,P,kp pisangan,9,9,Islam,Y
317506100200090,A,jakarta,5/7/2000,P,kp pisangan,9,9,Islam,Y
317506100200091,A,jakarta,5/8/2000,P,kp pisangan,9,9,Islam,Y
317506100200092,A,jakarta,5/9/2000,P,kp pisangan,9,9,Islam,Y
317506100200093,A,jakarta,5/10/2000,P,kp pisangan,9,9,Islam,Y
317506100200094,A,jakarta,5/11/2000,P,kp pisangan,10,10,Islam,Y
317506100200095,A,jakarta,5/12/2000,P,kp pisangan,10,10,Islam,Y
317506100200096,A,jakarta,5/13/2000,P,kp pisangan,10,10,Hindu,Y
317506100200097,A,jakarta,5/14/2000,P,kp pisangan,10,10,Hindu,Y
317506100200098,A,jakarta,5/15/2000,P,kp pisangan,10,10,Hindu,Y
317506100200099,A,jakarta,5/16/2000,P,kp pisangan,10,10,Buddha,T
317506100200100,A,jakarta,5/17/2000,P,kp pisangan,10,10,Buddha,T
